date,sales,onpromotion,transactions,dcoilwtico,is_holiday,day_of_week,day_of_month,month,quarter,year,week_of_year,lag_1,lag_7,lag_14,lag_28,rolling_7,rolling_14,rolling_28
2013-01-27,430411.991233,0,83304.0,95.15,0,6,27,1,1,2013,4,413799.7679753,461092.386047,464638.547998,,328977.8664161143,333885.61835095,
2013-01-28,285460.169953,0,70389.0,95.95,0,0,28,1,1,2013,5,430411.991233,311211.26595000003,293348.362078,,324594.95287125715,331440.86429630715,
2013-01-29,264488.81807649997,0,68435.0,97.62,0,1,29,1,1,2013,5,285460.169953,296214.728983,299129.549954,2511.618999,320916.2248716857,330877.42200166424,339672.16334946424
2013-01-30,281061.127052,0,70888.0,97.98,0,2,30,1,1,2013,5,264488.81807649997,283258.4530325,318347.913946,496092.417944,316383.9518850428,328403.0840104143,349028.49188794644
2013-01-31,271254.217996,0,70268.0,97.65,0,3,31,1,1,2013,5,281061.127052,247245.690995,267498.5159755,361461.231124,316070.0481735429,325739.7420894143,341348.80292751786
2013-02-01,369402.055266,0,78302.0,97.46,0,4,1,2,1,2013,5,271254.217996,290022.77193,296130.850028,354459.6770927,319499.8377451143,326008.00651945,338127.1238872321
2013-02-02,518887.462705,0,97347.0,97.46,0,5,2,2,1,2013,5,369402.055266,413799.7679753,432459.852021,477350.121229,330839.73536454287,331241.66403645,338660.7802505643
2013-02-03,486336.82018,0,87026.0,97.46,0,6,3,2,1,2013,5,518887.462705,430411.991233,461092.386047,519695.401088,345852.2631830714,337415.0647995929,340144.25673185
2013-02-04,344308.715017,0,75330.0,96.21,0,0,4,2,1,2013,6,486336.82018,285460.169953,311211.26595000003,336122.801066,353841.5244612143,339218.23866623576,338952.87884227856
2013-02-05,321245.83913,0,76206.0,96.68,0,1,5,2,1,2013,6,344308.715017,264488.81807649997,296214.728983,318347.777981,362248.45947035716,341582.3421710214,339245.23291195714
2013-02-06,321538.177149,0,75291.0,96.44,0,2,6,2,1,2013,6,321245.83913,281061.127052,283258.4530325,302530.809018,370356.6053351429,343370.2786100929,339348.73509585
2013-02-07,290807.530973,0,72789.0,95.84,0,3,7,2,1,2013,6,321538.177149,271254.217996,247245.690995,258982.003049,376139.0410632857,346104.5446184143,340027.5696719571
2013-02-08,347441.789912,0,79726.0,95.71,0,4,8,2,1,2013,6,290807.530973,369402.055266,290022.77193,289737.6850845,378932.37148857146,349216.1046168429,341164.1956692428
2013-02-09,416176.2790747,0,90342.0,95.71,0,5,9,2,1,2013,6,347441.789912,518887.462705,413799.7679753,403258.2120105,375795.1907237143,353317.46304412856,343225.0565559393
2013-02-10,300951.328993,0,69963.0,95.71,0,6,10,2,1,2013,6,416176.2790747,486336.82018,430411.991233,464638.547998,361122.1644908143,353487.21383694286,343686.41609394643
2013-02-11,278627.588926,0,67222.0,97.01,1,0,11,2,1,2013,7,300951.328993,344308.715017,285460.169953,293348.362078,334638.52289267135,344240.0236769429,337840.443986625
2013-02-12,308800.7909121,0,71808.0,97.48,1,1,12,2,1,2013,7,278627.588926,321245.83913,264488.81807649997,299129.549954,325255.50487967144,343751.98217501433,337314.70208833925
2013-02-13,319597.929962,0,80098.0,97.03,0,2,13,2,1,2013,7,308800.7909121,321538.177149,281061.127052,318347.913946,323477.64084854285,346917.12309184286,337660.10355112853
2013-02-14,308164.016957,0,88681.0,97.3,0,3,14,2,1,2013,7,319597.929962,290807.530973,271254.217996,267498.5159755,323200.4626789714,349669.75187112857,337704.7469802714
2013-02-15,320168.883912,0,75789.0,95.95,0,4,15,2,1,2013,7,308164.016957,347441.789912,369402.055266,296130.850028,325679.96067668573,352306.16608262854,339157.0863010393
2013-02-16,485660.494008,0,92816.0,95.95,0,5,16,2,1,2013,7,320168.883912,416176.2790747,518887.462705,432459.852021,321783.8312481143,348789.51098591427,340015.5875111822
2013-02-17,399588.910014,0,77449.0,95.95,0,6,17,2,1,2013,7,485660.494008,300951.328993,486336.82018,461092.386047,331710.1476671571,346416.1560789857,341915.6104392893
2013-02-18,350745.573191,0,76437.0,95.95,0,0,18,2,1,2013,8,399588.910014,278627.588926,344308.715017,311211.26595000003,345801.2306701572,340219.87678141426,339719.057723825
2013-02-19,293637.801951,0,70645.0,96.69,0,1,19,2,1,2013,8,350745.573191,308800.7909121,321245.83913,296214.728983,356103.7998508714,340679.6523652714,341130.9972681464
2013-02-20,313803.162034,0,73812.0,94.92,0,2,20,2,1,2013,8,293637.801951,319597.929962,321538.177149,283258.4530325,353937.6585707143,338707.64970962855,341038.96415986074
2013-02-21,267711.1090155,0,68246.0,92.79,0,3,21,2,1,2013,8,313803.162034,308164.016957,290807.530973,247245.690995,353109.834581,338155.1486299857,342129.84662419994
2013-02-22,285679.869131,0,70914.0,93.12,0,4,22,2,1,2013,8,267711.1090155,320168.883912,347441.789912,290022.77193,347330.84773221426,336505.40420445,342860.7544106464
2013-02-23,412897.349113,0,88390.0,93.12,0,5,23,2,1,2013,8,285679.869131,485660.494008,416176.2790747,413799.7679753,342403.8456206429,332093.8384343786,342705.65073925356
2013-02-24,452726.126103,0,84125.0,93.12,0,6,24,2,1,2013,8,412897.349113,399588.910014,300951.328993,430411.991233,332009.11063564284,331859.6291514,342673.42149417143
2013-02-25,307110.875933,0,72167.0,92.74,0,0,25,2,1,2013,9,452726.126103,350745.573191,278627.588926,285460.169953,339600.14150549995,342700.6860878286,343470.3548823857
2013-02-26,270425.0070675,0,68706.0,92.63,0,1,26,2,1,2013,9,307110.875933,293637.801951,308800.7909121,264488.81807649997,333366.6133257857,344735.2065883285,344243.59438167146
2013-02-27,288401.998919,0,70170.0,92.84,0,2,27,2,1,2013,9,270425.0070675,313803.162034,319597.929962,281061.127052,330050.499771,341994.07917085715,344455.60113135
2013-02-28,278116.291888,0,69818.0,92.03,0,3,28,2,1,2013,9,288401.998919,267711.1090155,308164.016957,271254.217996,326421.7621831428,339765.7983820714,344717.7751266
2013-03-01,378898.165064,0,79524.0,90.71,0,4,1,3,1,2013,9,278116.291888,285679.869131,320168.883912,369402.055266,327908.2168792143,337619.53230571427,344962.84919417143
2013-03-02,547857.205258,0,98616.0,90.71,1,5,2,3,1,2013,9,378898.165064,412897.349113,485660.494008,518887.462705,341225.11629821424,341814.4809594286,345301.99597267143
2013-03-03,559820.580027,0,92716.0,90.71,0,6,3,3,1,2013,9,547857.205258,452726.126103,399588.910014,486336.82018,360505.0957475,346257.1031915714,346336.6296352786
2013-03-04,383647.679097,0,79078.0,90.13,0,0,4,3,1,2013,10,559820.580027,307110.875933,350745.573191,344308.715017,375804.3034509286,357702.2224782143,348961.0496298143
2013-03-05,332189.993189,0,75134.0,90.88,0,1,5,3,1,2013,10,383647.679097,270425.0070675,293637.801951,321245.83913,386738.13247435715,360052.37290007144,350366.0126326714
2013-03-06,335726.580968,0,76519.0,90.47,0,2,6,3,1,2013,10,332189.993189,288401.998919,313803.162034,321538.177149,395561.7019202857,362806.10084564285,350756.8752776357
2013-03-07,293099.52701,0,73910.0,91.53,0,3,7,3,1,2013,10,335726.580968,278116.291888,267711.1090155,290807.530973,402322.35649871425,364372.0593409286,351263.60398545716
2013-03-08,316600.679967,0,78231.0,92.01,0,4,8,3,1,2013,10,293099.52701,378898.165064,285679.869131,347441.789912,404462.81865900004,366185.51776910713,351345.4609867786
2013-03-09,453259.496866,0,92462.0,92.01,0,5,9,3,1,2013,10,316600.679967,547857.205258,412897.349113,416176.2790747,395563.1779308571,368394.14711453574,350243.99277445715
2013-03-10,461859.756153,0,86322.0,92.01,0,6,10,3,1,2013,10,453259.496866,559820.580027,452726.126103,300951.328993,382049.21958914277,371277.1576683214,351568.3934098607
2013-03-11,318379.133021,0,75161.0,92.07,0,0,11,3,1,2013,11,461859.756153,383647.679097,307110.875933,278627.588926,368054.8161785714,371929.55981475004,357315.12295128923
2013-03-12,271823.37801,0,69346.0,92.44,0,1,12,3,1,2013,11,318379.133021,332189.993189,270425.0070675,308800.7909121,358730.7381677143,372734.43532103574,358734.8209546822
2013-03-13,287869.663972,0,72010.0,92.47,0,2,13,3,1,2013,11,271823.37801,335726.580968,288401.998919,319597.929962,350106.9359992857,372834.3189597857,357414.1990653214
2013-03-14,247541.420096,0,67393.0,93.03,0,3,14,3,1,2013,11,287869.663972,293099.52701,278116.291888,308164.016957,343270.23357128573,372796.29503499996,356281.04670853575
2013-03-15,315878.090213,0,75533.0,93.49,0,4,15,3,1,2013,11,247541.420096,316600.679967,378898.165064,320168.883912,336761.9325835714,370612.3756212857,354115.9539635
2013-03-16,482233.433961,0,91900.0,93.49,0,5,16,3,1,2013,11,315878.090213,453259.496866,547857.205258,485660.494008,336658.70547585713,366110.94170335715,353962.7113313928
2013-03-17,513439.584913,0,89346.0,93.49,0,6,17,3,1,2013,11,482233.433961,461859.756153,559820.580027,399588.910014,340797.8393465714,361423.5294678571,353840.3163297143
2013-03-18,330283.80303,0,74418.0,93.71,0,0,18,3,1,2013,12,513439.584913,318379.133021,383647.679097,350745.573191,348166.38631228573,358110.60124542855,357906.4118618214
2013-03-19,294020.245897,0,71841.0,92.44,0,1,19,3,1,2013,12,330283.80303,271823.37801,332189.993189,293637.801951,349867.0534564286,354298.89581207145,357175.6343560714
2013-03-20,321207.006946,0,74145.0,93.21,0,2,20,3,1,2013,12,294020.245897,287869.663972,335726.580968,313803.162034,353038.0345831429,351572.48529121425,357189.2930684286
2013-03-21,269130.127953,0,69157.0,92.46,0,3,21,3,1,2013,12,321207.006946,247541.420096,293099.52701,267711.1090155,357800.51215085713,350535.37286107143,357453.716101
2013-03-22,304100.453969,0,71990.0,93.41,0,4,22,3,1,2013,12,269130.127953,315878.090213,316600.679967,285679.869131,360884.61327328574,348823.27292842855,357504.39534876787
2013-03-23,453192.003086,0,91923.0,93.41,0,5,23,3,1,2013,12,304100.453969,482233.433961,453259.496866,412897.349113,359202.09380985715,347930.3996428572,358162.2733786964
2013-03-24,449794.636951,0,83439.0,93.41,0,6,24,3,1,2013,12,453192.003086,513439.584913,461859.756153,452726.126103,355053.31797057146,347925.57865857147,359601.36816344643
2013-03-25,317559.6099585,0,72992.0,94.55,0,0,25,3,1,2013,13,449794.636951,330283.80303,318379.133021,307110.875933,345961.1825474286,347063.7844298571,359496.6721223036
2013-03-26,275818.2359,0,68469.0,95.99,0,1,26,3,1,2013,13,317559.6099585,294020.245897,271823.37801,270425.0070675,344143.4406800714,347005.24706825,359869.8411946428
2013-03-27,313691.148998,0,74049.0,96.53,0,2,27,3,1,2013,13,275818.2359,321207.006946,287869.663972,288401.998919,341543.15353764285,347290.5940603929,360062.4565100893
2013-03-28,339293.269022,0,82104.0,97.24,0,3,28,3,1,2013,13,313691.148998,269130.127953,247541.420096,278116.291888,340469.4595450714,349134.9858479643,360965.64044148213
2013-03-29,345513.132,0,77781.0,97.24,0,4,29,3,1,2013,13,339293.269022,304100.453969,315878.090213,378898.165064,350492.7654120714,355688.6893426786,363150.5324819822
2013-03-30,452661.356036,0,90611.0,97.24,0,5,30,3,1,2013,13,345513.132,453192.003086,482233.433961,547857.205258,356408.8622736429,357805.47804175,361958.2098725536
2013-03-31,462107.639956,0,82563.0,97.24,0,6,31,3,1,2013,13,452661.356036,449794.636951,513439.584913,559820.580027,356333.0555522143,355693.18676139286,358558.358114625
2013-04-01,428816.447912,0,81678.0,97.1,1,0,1,4,2,2013,14,462107.639956,317559.6099585,330283.80303,383647.679097,358092.0559815,352026.6192644643,355068.61025494646
2013-04-02,377732.827961,0,77165.0,97.23,0,1,2,4,2,2013,14,428816.447912,275818.2359,294020.245897,332189.993189,373985.88997485716,359064.6653274643,356681.78056976787
2013-04-03,373731.0758793,0,78534.0,95.02,0,2,3,4,2,2013,14,377732.827961,313691.148998,321207.006946,335726.580968,388545.1174121429,365044.13547489286,358308.3103830536
2013-04-04,308738.385963,0,72217.0,93.26,0,3,4,4,2,2013,14,373731.0758793,339293.269022,269130.127953,293099.52701,397122.24982375716,368795.8546844143,359665.6137727429
2013-04-05,336394.782031,0,74928.0,92.76,0,4,5,4,2,2013,14,308738.385963,345513.132,304100.453969,316600.679967,392757.2665296143,371625.0159708429,360224.1444496357
2013-04-06,509424.214023,0,94844.0,92.76,0,5,6,4,2,2013,14,336394.782031,452661.356036,453192.003086,453259.496866,391454.6451054714,373931.7536895572,360931.07666620717
2013-04-07,519048.376884,0,89183.0,92.76,0,6,7,4,2,2013,14,509424.214023,462107.639956,449794.636951,461859.756153,399563.62481789995,377948.3401850571,362936.9594218143
2013-04-08,346649.815943,0,75161.0,93.36,0,0,8,4,2,2013,15,519048.376884,428816.447912,317559.6099585,318379.133021,407698.0158076143,382895.0358945572,364979.4101622072
2013-04-09,306335.8019617,0,71416.0,94.18,0,1,9,4,2,2013,15,346649.815943,377732.827961,275818.2359,271823.37801,395959.92552632856,384972.90775059286,365989.07740942144
2013-04-10,312846.374941,0,73989.0,94.59,0,2,10,4,2,2013,15,306335.8019617,373731.0758793,313691.148998,287869.663972,385760.3503835714,387152.7338978572,367221.66397912503
2013-04-11,303223.41301,0,71907.0,93.44,0,3,11,4,2,2013,15,312846.374941,308738.385963,339293.269022,247541.420096,377062.5359638143,387092.3928937857,368113.68937087496
2013-04-12,314394.967035,0,75403.0,91.23,1,4,12,4,2,2013,15,303223.41301,336394.782031,345513.132,315878.090213,376274.68268481427,384515.97460721433,370102.3319749464
2013-04-13,453442.497048,0,92166.0,91.23,0,5,13,4,2,2013,15,314394.967035,509424.214023,452661.356036,482233.433961,373131.85197109997,382293.2485382858,370049.3632900179
2013-04-14,478417.148813,0,86803.0,91.23,1,6,14,4,2,2013,15,453442.497048,519048.376884,462107.639956,513439.584913,365134.46383181436,382349.0443248572,369021.115543125
2013-04-15,338712.458055,0,76251.0,88.75,0,0,15,4,2,2013,16,478417.148813,346649.815943,428816.447912,330283.80303,359330.0026788143,383514.0092432143,367770.3142538393
2013-04-16,333431.880049,0,74187.0,88.73,0,1,16,4,2,2013,16,338712.458055,306335.8019617,377732.827961,294020.245897,358196.0944091001,377078.00996771426,368071.3376475893
2013-04-17,334990.518942,0,74529.0,86.65,0,2,17,4,2,2013,16,333431.880049,312846.374941,373731.0758793,321207.006946,362066.9627072857,373913.65654542856,369478.89601016074
2013-04-18,281924.509951,0,68343.0,87.83,0,3,18,4,2,2013,16,334990.518942,303223.41301,308738.385963,269130.127953,365230.4118502857,371146.47390705004,369971.16429573216
2013-04-19,311588.70494,0,73119.0,88.04,0,4,19,4,2,2013,16,281924.509951,314394.967035,336394.782031,304100.453969,362187.7114132857,369231.19704905,370428.1065099464
2013-04-20,459884.838043,0,92014.0,88.04,0,5,20,4,2,2013,16,311588.70494,453442.497048,509424.214023,453192.003086,361786.81682828575,367459.33439969283,370695.544044625
2013-04-21,485721.032087,0,87401.0,88.04,1,6,21,4,2,2013,16,459884.838043,478417.148813,519048.376884,449794.636951,362707.1512561428,363920.8075439786,370934.57386451785
2013-04-22,328886.320986,0,75157.0,88.81,0,0,22,4,2,2013,17,485721.032087,338712.458055,346649.815943,317559.6099585,363750.5631524286,361540.2829156215,372217.6594050893
2013-04-23,302097.8329435,0,71657.0,89.21,0,1,23,4,2,2013,17,328886.320986,333431.880049,306335.8019617,275818.2359,362346.82928542857,360271.4618472643,372622.18479892856
2013-04-24,310555.184925,0,73003.0,91.07,0,2,24,4,2,2013,17,302097.8329435,334990.518942,312846.374941,313691.148998,357870.5368417857,359968.7497745357,373560.7418361964
2013-04-25,268790.618996,0,68917.0,93.27,0,3,25,4,2,2013,17,310555.184925,281924.509951,303223.41301,339293.269022,354379.7748393572,359805.0933448215,373448.7431193036
2013-04-26,304413.556952,0,72813.0,92.63,0,4,26,4,2,2013,17,268790.618996,311588.70494,314394.967035,345513.132,352503.5047029286,357345.60805810714,370930.7913326607
2013-04-27,446665.337895,0,89825.0,92.63,0,5,27,4,2,2013,17,304413.556952,459884.838043,453442.497048,452661.356036,351478.4835617858,356632.6501950357,369462.94936666073
2013-04-28,477623.4729303,0,86773.0,92.63,0,6,28,4,2,2013,17,446665.337895,485721.032087,478417.148813,462107.639956,349589.9835406429,356148.5673983929,369248.805861625
2013-04-29,328795.874018,0,72009.0,94.09,1,0,29,4,2,2013,18,477623.4729303,328886.320986,338712.458055,428816.447912,348433.1893754,356091.8762639143,369802.9427535643
2013-04-30,310186.466894,0,73513.0,93.22,0,1,30,4,2,2013,18,328795.874018,302097.8329435,333431.880049,377732.827961,348420.26837997144,355383.5488327,366230.77940020716
2013-05-01,507974.636889,0,90548.0,90.74,1,2,1,5,2,2013,18,310186.466894,310555.184925,334990.518942,373731.0758793,349575.78751575714,353723.16217877145,363818.4093621
2013-05-02,348709.460063,0,73639.0,93.7,0,3,2,5,2,2013,18,507974.636889,268790.618996,281924.509951,308738.385963,377778.5663677571,366079.17060355714,368612.82225530356
2013-05-03,374291.2510323,0,76685.0,95.25,0,4,3,5,2,2013,18,348709.460063,304413.556952,311588.70494,336394.782031,389195.5436630429,370849.5241829857,370040.3606160179
2013-05-04,520339.51596499997,0,96689.0,95.25,0,5,4,5,2,2013,18,374291.2510323,446665.337895,459884.838043,509424.214023,399178.0713888,375328.27747529285,371393.8059374928
2013-05-05,580268.550981,0,95212.0,95.25,0,6,5,5,2,2013,18,520339.51596499997,477623.4729303,485721.032087,519048.376884,409702.9539702286,379646.4687554357,371783.6381497071
2013-05-06,369869.383046,0,76383.0,95.8,0,0,6,5,2,2013,19,580268.550981,328795.874018,328886.320986,346649.815943,424366.53654889995,386399.86296214996,373970.07293888566
2013-05-07,317292.964148,0,72563.0,95.28,0,1,7,5,2,2013,19,369869.383046,310186.466894,302097.8329435,306335.8019617,430234.18069575715,389327.22453786427,374799.3431925643
2013-05-08,332477.410968,0,74802.0,96.24,0,2,8,5,2,2013,19,317292.964148,507974.636889,310555.184925,312846.374941,431249.3945891857,390412.59105247137,375190.6704135036
2013-05-09,305868.0570225,0,75025.0,96.09,0,3,9,5,2,2013,19,332477.410968,348709.460063,268790.618996,303223.41301,406178.36231475713,391978.4643412571,375891.7788430393
2013-05-10,335937.441949,0,80282.0,95.81,0,4,10,5,2,2013,19,305868.0570225,374291.2510323,304413.556952,314394.967035,400058.1618804,394626.8527717214,375986.2304149143
2013-05-11,512090.58108,0,111484.0,95.81,1,5,11,5,2,2013,19,335937.441949,520339.51596499997,446665.337895,453442.497048,394579.04629707144,396878.5588429357,376755.6045189857
2013-05-12,387860.5050145,0,89790.0,95.81,1,6,12,5,2,2013,19,512090.58108,580268.550981,477623.4729303,478417.148813,393400.6270277857,401551.79049900715,378850.17894869996
2013-05-13,350598.06187,0,75625.0,94.76,0,0,13,5,2,2013,20,387860.5050145,369869.383046,328795.874018,338712.458055,365913.76331828575,395140.1499335928,375616.0130987536
2013-05-14,308469.313119,0,71589.0,93.96,0,1,14,5,2,2013,20,350598.06187,317292.964148,310186.466894,333431.880049,363160.71743599995,396697.4490658786,376040.4989492893
2013-05-15,329113.560081,0,74401.0,93.95,0,2,15,5,2,2013,20,308469.313119,332477.410968,507974.636889,334990.518942,361900.19586042856,396574.79522480717,375148.9787017893
2013-05-16,307556.946937,0,71287.0,94.85,0,3,16,5,2,2013,20,329113.560081,305868.0570225,348709.460063,281924.509951,361419.6457337142,383799.00402423565,374939.0873138964
2013-05-17,330004.241998,0,74705.0,95.72,0,4,17,5,2,2013,20,307556.946937,335937.441949,374291.2510323,311588.70494,361660.9157215,380859.53880095,375854.53149196785
2013-05-18,480969.558942,0,91973.0,95.72,0,5,18,5,2,2013,20,330004.241998,512090.58108,520339.51596499997,459884.838043,360813.31572849996,377696.1810127857,376512.2292440393
2013-05-19,518153.554009,0,89031.0,95.72,0,6,19,5,2,2013,20,480969.558942,387860.5050145,580268.550981,485721.032087,356367.45542307146,374884.0412254286,377265.2549904321
2013-05-20,341787.214991,0,74613.0,96.29,0,0,20,5,2,2013,21,518153.554009,350598.06187,369869.383046,328886.320986,374980.74813657143,370447.2557274286,378423.5593447893
2013-05-21,307178.399952,0,70601.0,95.55,0,1,21,5,2,2013,21,341787.214991,308469.313119,317292.964148,302097.8329435,373722.0557252857,368441.38658064284,378884.3055592536
2013-05-22,301785.4831075,0,71763.0,93.98,0,2,22,5,2,2013,21,307178.399952,329113.560081,332477.410968,310555.184925,373537.63955857145,367718.9177095,379065.75438098575
2013-05-23,289261.058026,0,70843.0,94.12,0,3,23,5,2,2013,21,301785.4831075,307556.946937,305868.0570225,268790.618996,369633.62856235716,365526.6371480357,378752.5507446464
2013-05-24,398389.241982,0,78945.0,93.84,1,4,24,5,2,2013,21,289261.058026,330004.241998,335937.441949,304413.556952,367019.93014649994,364340.422934,379483.6378528607
2013-05-25,417930.141993,0,85230.0,93.84,0,5,25,5,2,2013,21,398389.241982,480969.558942,512090.58108,446665.337895,376789.21585850004,368801.2657935,382839.91231821786
2013-05-26,450631.400068,0,81869.0,93.84,0,6,26,5,2,2013,21,417930.141993,518153.554009,387860.5050145,477623.4729303,367783.58486578567,362075.52014442853,381813.65532171784
2013-05-27,321630.8309235,0,72144.0,93.84,0,0,27,5,2,2013,22,450631.400068,341787.214991,350598.06187,328795.874018,358137.56287421426,366559.1555053928,380849.6527194929
2013-05-28,307329.1680565,0,71801.0,94.65,0,1,28,5,2,2013,22,321630.8309235,307178.399952,308469.313119,310186.466894,355258.07943599997,364490.0675806428,380593.7583232607
2013-05-29,309333.380899,0,73970.0,93.13,0,2,29,5,2,2013,22,307329.1680565,301785.4831075,329113.560081,507974.636889,355279.61773664283,364408.62864760717,380491.7119362071
2013-05-30,304344.849939,0,77052.0,93.57,0,3,30,5,2,2013,22,309333.380899,289261.058026,307556.946937,348709.460063,356357.8888497143,362995.75870603573,373397.3813651357
2013-05-31,330257.841975,0,76921.0,91.93,0,4,31,5,2,2013,22,304344.849939,398389.241982,330004.241998,374291.2510323,358512.7162658571,362766.32320617855,371812.9310035643
2013-06-01,566901.814988,0,101740.0,91.93,0,5,1,6,2,2013,22,330257.841975,417930.141993,480969.558942,520339.51596499997,348779.659122,362784.43749025,370240.3092515179
2013-06-02,637698.494958,0,98018.0,91.93,0,6,2,6,2,2013,22,566901.814988,450631.400068,518153.554009,580268.550981,370061.3266927143,368922.4557792501,371903.2485023393
2013-06-03,426332.097995,0,80648.0,93.41,0,0,3,6,2,2013,23,637698.494958,321630.8309235,341787.214991,369869.383046,396785.1973912857,377461.38013274997,373954.3179300893
2013-06-04,369705.160085,0,76213.0,93.36,0,1,4,6,2,2013,23,426332.097995,307329.1680565,307178.399952,317292.964148,411742.5212586429,383500.3003473215,375970.8434639821
2013-06-05,361791.080915,0,77605.0,93.66,0,2,5,6,2,2013,23,369705.160085,309333.380899,301785.4831075,332477.410968,420653.37726271426,387966.4974996786,377842.7076045893
2013-06-06,317496.765891,0,72282.0,94.71,0,3,6,6,2,2013,23,361791.080915,304344.849939,289261.058026,305868.0570225,428147.33440785715,392252.61162878573,378889.6243884107
2013-06-07,357673.087977,0,79014.0,96.11,0,4,7,6,2,2013,23,317496.765891,330257.841975,398389.241982,335937.441949,430026.1795438571,394269.44790485705,379304.93541942857
2013-06-08,466292.699096,0,89783.0,96.11,0,5,8,6,2,2013,23,357673.087977,566901.814988,417930.141993,512090.58108,433942.64325842855,391361.15119021427,380081.2084918571
2013-06-09,526804.730256,0,89751.0,96.11,0,6,9,6,2,2013,23,466292.699096,637698.494958,450631.400068,387860.5050145,419569.9124167143,394815.6195547143,378445.5698495715
2013-06-10,349754.291978,0,74546.0,95.82,0,0,10,6,2,2013,24,526804.730256,426332.097995,321630.8309235,350598.06187,403727.94603071426,400256.57171100006,383407.8636081964
2013-06-11,283858.2159925,0,68636.0,95.5,0,1,11,6,2,2013,24,349754.291978,369705.160085,307329.1680565,308469.313119,392788.2594568571,402265.39035775,383377.7289691964
2013-06-12,320173.5779987,0,73386.0,95.98,0,2,12,6,2,2013,24,283858.2159925,361791.080915,309333.380899,329113.560081,380524.41030078573,400588.89378175,382498.7612146786
2013-06-13,282886.9200452,0,69703.0,96.66,0,3,13,6,2,2013,24,320173.5779987,317496.765891,304344.849939,307556.946937,374579.0527413143,401363.19357458566,382179.4761403107
